workerid,trial_type,modifier2,noun,modifier1,stimulus,train,modifier,response,other_languages,language,problems,comments,asses,fairprice,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,det,NA,bowl,NA,this bowl,NA,this,bowl this,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,boxes,NA,four boxes,NA,four,boxes four,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,det,NA,pig,NA,this pig,NA,this,pig this,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,handbags,NA,three handbags,NA,three,handbags three,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,trays,NA,ten trays,NA,ten,trays ten,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,bananas,NA,six bananas,NA,six,bananas six,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,cherries,NA,five cherries,NA,five,cherries five,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,shoes,NA,six shoes,NA,six,shoes six,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,num,NA,shirts,NA,nine shirts,NA,nine,shirts nine,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
0,det,NA,scarf,NA,that scarf,NA,that,scarf that,n/a,english,no,,Yes,1.70,Mac,1080,1920,Chrome,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
